"filename", "language", "JavaScript", "JSON", "TypeScript JSX", "Markdown", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\App.js", "JavaScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\README.md", "Markdown", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\__mocks__\@expo\vector-icons.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\__mocks__\expo-font.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\App.test.tsx", "TypeScript JSX", 0, 0, -9, 0, 0, 0, 0, 0, -2, -11
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddAndSendMoney\AmountInfo.test.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 4, 5, 32
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddAndSendMoney\ContinueButton.test.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddAndSendMoney\WalletImage.test.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddVehicle\ImagePickerBottomSheet.test.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 5, 15, 120
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddVehicle\VehicleForm.test.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 2, 12, 94
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\AddVehicle\VehicleTypeSheet.test.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 3, 9, 50
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\AccountHolderInput.test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 2, 17
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\AccountNumberInput.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\BankNameInput.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\Administrator\Desktop\bakalauras\JourneyFy\_tests_\Component\BankInfo\BranchCodeInput.test.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 2, 22
